First Dataset	Second Dataset	p-value	q-value
g_Bacteroides_2	FN1_2335	8.25649053136e-06	0.00471951522361
g_Bacteroides_2	COL12A1_1303	8.25649053136e-06	0.00471951522361
f_Clostridiaceae_7	C15orf57_90416	1.21890113436e-05	0.00495505510931
o_Clostridiales_8	NCRNA00185_55410	8.70505663782e-06	0.00471951522361
o_Clostridiales_8	NA_84663	2.4898255313e-06	0.00247339268279
g_Clostridium_41	MFAP5_8076	1.27784993114e-05	0.00495505510931
g_Bacteroides_49	FN1_2335	3.16628519972e-06	0.00262115643117
g_Bacteroides_49	COL12A1_1303	3.16628519972e-06	0.00262115643117
g_Blautia_50	MFAP5_8076	9.50174194405e-06	0.00471951522361
f_Lachnospiraceae_55	MFAP5_8076	1.77938993486e-07	0.000227139125185
f_Lachnospiraceae_62	MFAP5_8076	8.01576677039e-10	2.04642525648e-06
g_Gemella_80	HIST1H4C_8364	0.0	0.0
f_Lachnospiraceae_94	FN1_2335	5.21902747734e-07	0.000648072736999
f_Lachnospiraceae_94	COL12A1_1303	5.21902747734e-07	0.000648072736999
f_Lachnospiraceae_94	MFAP5_8076	8.01576677039e-10	2.04642525648e-06
