# Gene Family	demo_Abundance-RPKs
UNMAPPED	168420
UniRef90_unknown	72057.9
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	39458.5
UniRef90_unknown|g__Bacteroides.s__Bacteroides_vulgatus	32599.4
UniRef90_R6HHA8	14635
UniRef90_R6HHA8|g__Bacteroides.s__Bacteroides_dorei	14635
UniRef90_G1UMF5	2927.01
UniRef90_G1UMF5|g__Bacteroides.s__Bacteroides_vulgatus	2927.01
UniRef90_R7P3A5	2439.17
UniRef90_R7P3A5|g__Bacteroides.s__Bacteroides_dorei	2439.17
UniRef90_R6HKK8	2310.8
UniRef90_R6HKK8|g__Bacteroides.s__Bacteroides_dorei	2310.8
UniRef90_D1K046	2090.72
UniRef90_D1K046|g__Bacteroides.s__Bacteroides_dorei	2090.72
UniRef90_D4VBJ0	2090.72
UniRef90_D4VBJ0|g__Bacteroides.s__Bacteroides_vulgatus	2090.72
UniRef90_R6HVY6	2090.72
UniRef90_R6HVY6|g__Bacteroides.s__Bacteroides_dorei	2090.72
UniRef90_R6I0Z3	2090.72
UniRef90_R6I0Z3|g__Bacteroides.s__Bacteroides_vulgatus	2090.72
UniRef90_C3R7K2	2009.32
UniRef90_C3R7K2|g__Bacteroides.s__Bacteroides_dorei	2009.32
UniRef90_R9HIC6	1829.38
UniRef90_R9HIC6|g__Bacteroides.s__Bacteroides_vulgatus	1829.38
UniRef90_I9GA88	1595.72
UniRef90_I9GA88|g__Bacteroides.s__Bacteroides_vulgatus	820.656
UniRef90_I9GA88|g__Bacteroides.s__Bacteroides_dorei	775.064
UniRef90_R7NVD8	1565.3
UniRef90_R7NVD8|g__Bacteroides.s__Bacteroides_vulgatus	1565.3
UniRef90_A6KZ97	1463.5
UniRef90_A6KZ97|g__Bacteroides.s__Bacteroides_dorei	1463.5
UniRef90_B6VTL0	1463.5
UniRef90_B6VTL0|g__Bacteroides.s__Bacteroides_dorei	1463.5
UniRef90_D4V7T1	1416.29
UniRef90_D4V7T1|g__Bacteroides.s__Bacteroides_vulgatus	1416.29
UniRef90_B6VZR2	1330.46
UniRef90_B6VZR2|g__Bacteroides.s__Bacteroides_dorei	1330.46
UniRef90_C3Q4T2	1330.46
UniRef90_C3Q4T2|g__Bacteroides.s__Bacteroides_dorei	1330.46
UniRef90_D1K8B6	1330.46
UniRef90_D1K8B6|g__Bacteroides.s__Bacteroides_dorei	1330.46
UniRef90_R6HMF6	1330.46
UniRef90_R6HMF6|g__Bacteroides.s__Bacteroides_dorei	1330.46
UniRef90_A7AE97	1291.33
UniRef90_A7AE97|g__Bacteroides.s__Bacteroides_dorei	1291.33
UniRef90_B6VVE6	1272.61
UniRef90_B6VVE6|g__Bacteroides.s__Bacteroides_dorei	1272.61
UniRef90_D1K9F5	1228.18
UniRef90_D1K9F5|g__Bacteroides.s__Bacteroides_dorei	1228.18
UniRef90_D1JZ48	1219.59
UniRef90_D1JZ48|g__Bacteroides.s__Bacteroides_dorei	1219.59
UniRef90_D4VC99	1219.59
UniRef90_D4VC99|g__Bacteroides.s__Bacteroides_vulgatus	1219.59
UniRef90_A6KXM7	1147.85
UniRef90_A6KXM7|g__Bacteroides.s__Bacteroides_vulgatus	1147.85
UniRef90_B6W1W2	1125.77
